,title,date
0,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",25/10/2022
1,Mengenal Kanker Kepala-Leher yang Disebabkan oleh Virus HPV,26/10/2022
2,Mahasiswa Belanda Sebar Bibit Ikan untuk Cegah Malaria di Banyuwangi,26/10/2022
3,Departemen THT-KL Kukuhkan Ahli Onkologi THT dari Malaysia jadi Adjunct Professor,26/10/2022
4,Pertahankan Aktivitas Fisik Saat Pembelajaran Daring Guna Mencapai Status Gizi Optimal,21/10/2022
5,Disparitas Sosial Ekonomi Pemanfaatan Rumah Sakit oleh Tenaga Kerja Wanita di Indonesia,10/10/2022
6,Penerapan Teknik CARL pada Prioritas Masalah Surveilans COVID-19,21/10/2022
7,DNA Lokus Amelogenin pada Tusuk Gigi sebagai Bukti Forensik untuk Penentuan Jenis Kelamin,19/10/2022
8,Profil Bakteri dan Antibiogram Pasien Infeksi Saluran Kemih Usia di Atas 18 Tahun,21/10/2022
9,Nemawashi dan Ringi-Sho Dalam Manajemen Jepang,30/09/2022
10,"Penutupan Kita Sama, BEM UNAIR Usung Kesetaraan Tingkatkan Kepercayaan Diri",12/10/2022
11,"Sumpah Apoteker Ke-114, Rektor: Apoteker Harus Peka dengan Isu Fundamental",17/10/2022
12,SDGs Center UNAIR Danai Summer Course Fakultas,24/10/2022
13,"Talkshow Inspiratif, Ajak Mahasiswa Studi ke Luar Negeri",11/10/2022
14,"Keterkaitan antara Kebersihan Rumah, Sanitasi, dan Status Gizi dengan Penyakit Kusta pada Wanita di Kabupaten Gresik",21/10/2022
15,"Infeksi Bakteri MRSA, Pilih Antibiotik Vankomisin Atau Lainnya?",17/10/2022
16,"Kontribusi Terhadap Keberlanjutan Lingkungan, UNAIR Raih 4 Trees Rating dari UI Greenmetric",25/10/2022
17,Mengenal Kanker Kepala-Leher yang Disebabkan oleh Virus HPV,26/10/2022
18,Mahasiswa Belanda Sebar Bibit Ikan untuk Cegah Malaria di Banyuwangi,26/10/2022
19,Departemen THT-KL Kukuhkan Ahli Onkologi THT dari Malaysia jadi Adjunct Professor,26/10/2022
20,Pertahankan Aktivitas Fisik Saat Pembelajaran Daring Guna Mencapai Status Gizi Optimal,21/10/2022
21,Disparitas Sosial Ekonomi Pemanfaatan Rumah Sakit oleh Tenaga Kerja Wanita di Indonesia,10/10/2022
22,Penerapan Teknik CARL pada Prioritas Masalah Surveilans COVID-19,21/10/2022
23,DNA Lokus Amelogenin pada Tusuk Gigi sebagai Bukti Forensik untuk Penentuan Jenis Kelamin,19/10/2022
24,Profil Bakteri dan Antibiogram Pasien Infeksi Saluran Kemih Usia di Atas 18 Tahun,21/10/2022
25,Nemawashi dan Ringi-Sho Dalam Manajemen Jepang,30/09/2022
26,"Penutupan Kita Sama, BEM UNAIR Usung Kesetaraan Tingkatkan Kepercayaan Diri",12/10/2022
27,"Sumpah Apoteker Ke-114, Rektor: Apoteker Harus Peka dengan Isu Fundamental",17/10/2022
28,SDGs Center UNAIR Danai Summer Course Fakultas,24/10/2022
29,"Talkshow Inspiratif, Ajak Mahasiswa Studi ke Luar Negeri",11/10/2022
30,"Keterkaitan antara Kebersihan Rumah, Sanitasi, dan Status Gizi dengan Penyakit Kusta pada Wanita di Kabupaten Gresik",21/10/2022
31,"Infeksi Bakteri MRSA, Pilih Antibiotik Vankomisin Atau Lainnya?",17/10/2022
